candidateId,value,universidad homologada
630665b8594e18004af054f9,Universidad Tecnologica Del Peru   Utp,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05516,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05550,Universidad Continental,Universidad Continental S.A.C.
630665b8594e18004af05557,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af0555e,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af0556f,Universidad Nacional Federico Villarreal,Universidad Nacional Federico Villarreal
630665b8594e18004af0557c,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af055a1,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af055b1,Utp,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af055b8,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af055be,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af055c5,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af055cc,Universidad Ricardo Palma,Universidad Ricardo Palma
630665b8594e18004af055d8,Universidad Nacional De La  Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af055df,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af05600,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05613,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05619,Universidad Maria Auxiliadora,Universidad Maria Auxiliadora S.A.C.
630665b8594e18004af05626,Universidad De San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af0562e,Universidad Andina Del Cusco,Universidad Andina del Cusco
630665b8594e18004af05634,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05643,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05653,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05663,Universidad Cesar Vallejo   Ucv,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af0566b,Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05691,Universidad De San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af056a5,Universidad Nacional De San Agustin   Unsa,Universidad Nacional de San Agustin de Arequipa
630665b8594e18004af056af,Universidad Autonoma Del Peru,Universidad Autonoma del Peru S.A.C.
630665b8594e18004af056c1,Pucp,Pontificia Universidad Catolica del Peru
630665b8594e18004af056d7,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af056ed,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05700,Uch Ciencias Y Humanidades,Asociacion Civil Universidad de Ciencias y Humanidades
630665b8594e18004af0570c,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05713,Universidad San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af0572f,Universidad Nacional De Piura,Universidad Nacional de Piura
630665b8594e18004af05751,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05757,Universidad Nacional San Luis Gonzaga,Universidad Nacional San Luis Gonzaga de Ica
630665b8594e18004af0577c,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05783,Upc San Isidro,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05796,Universidad Ricardo Palma,Universidad Ricardo Palma
